image_name,question,answer
Functional-scheme-X.509-proxy-ru.png,Какие серверы присутствуют в блоке TSA?,"В блоке TSA присутствуют БД TSA, TSP сервер, LDAP каталог, OCSP сервер и HTTP proxy."
Functional-scheme-X.509-proxy-ru.png,Какие библиотеки криптографических функций указаны для клиентов ЦСК?,Библиотека криптографических функций Java и библиотека криптографических функций Win32.
VirtualBox_Windows-10-Errors_22_10_2020_16_02_44_1603433803-e1603433825525.jpg,Что означает сообщение об ошибке в окне установки Windows?,"Сообщение говорит, что выбранный раздел слишком маленький и нужно увеличить размер раздела до не менее 9522 МБ или выбрать другой раздел."
VirtualBox_Windows-10-Errors_22_10_2020_16_02_44_1603433803-e1603433825525.jpg,Какой размер у выбранного раздела для установки Windows?,"Общий размер выбранного раздела составляет 50.0 МБ, из которых свободно 38.0 МБ."
VirtualBox_Windows-10-Errors_22_10_2020_16_02_44_1603433803-e1603433825525.jpg,Какой тип раздела выбран для установки Windows?,Выбранный раздел имеет тип 'Системный'.
VirtualBox_Windows-10-Errors_22_10_2020_16_02_44_1603433803-e1603433825525.jpg,Почему нельзя установить Windows на раздел 1 диска 0?,Потому что размер раздела слишком маленький для установки Windows.
VirtualBox_Windows-10-Errors_22_10_2020_16_02_44_1603433803-e1603433825525.jpg,Какая кнопка доступна для подтверждения сообщения об ошибке?,Доступна кнопка 'OK' для подтверждения сообщения.
mm07bx1u2dxlgab0prkzllunvf8.1566805807.png,Что обозначает центральная часть диаграммы?,"Центральная часть диаграммы обозначает Domain Model, который является ядром Domain Layer."
mm07bx1u2dxlgab0prkzllunvf8.1566805807.png,Какие основные слои выделены на диаграмме?,"Основные слои: Application Layer, Domain Layer и Application Core."
mm07bx1u2dxlgab0prkzllunvf8.1566805807.png,Какие адаптеры относятся к Primary/Driving Adapters?,"Primary/Driving Adapters включают Admin GUI Views & Controllers, SOAP/REST Controllers, Consumer GUI Views & Controllers и Console Commands."
mm07bx1u2dxlgab0prkzllunvf8.1566805807.png,Какие адаптеры относятся к Secondary/Driven Adapters?,"Secondary/Driven Adapters включают C/Q BUS Adapter, Message Bus, Message Queue, SMS Adapter, Email Adapter, Search Adapter и ORM Adapter."
mm07bx1u2dxlgab0prkzllunvf8.1566805807.png,Какое направление имеют зависимости в архитектуре?,"Зависимости направлены внутрь, от внешних адаптеров к ядру приложения."
maps.png,Какие федеральные округа представлены на карте?,"Центральный, Северо-Западный, Уральский, Южный, Северо-Кавказский, Приволжский, Дальневосточный, Сибирский."
maps.png,Какие города входят в Центральный федеральный округ и какие у них показатели?,"Воронеж (92), Москва (86), Рязань (64), Смоленск (130), Ярославль (106)."
maps.png,Какие города относятся к Северо-Западному федеральному округу и каковы их показатели?,"Вологда (88), Санкт-Петербург (48)."
maps.png,Какой показатель у Екатеринбурга в Уральском федеральном округе?,71.
maps.png,Какие города входят в Южный федеральный округ и каковы их показатели?,"Волгоград (46), Краснодар (42)."
maps.png,Какой показатель у Ставрополя в Северо-Кавказском федеральном округе?,37.
maps.png,Какие города входят в Приволжский федеральный округ и каковы их показатели?,"Ижевск (82), Киров (76), Нижний Новгород (84), Самара (132), Саратов (40), Уфа (74)."
maps.png,Какие города входят в Сибирский федеральный округ и каковы их показатели?,"Кемерово (95), Новосибирск (64), Улан-Удэ (107)."
maps.png,Какой показатель у Хабаровска в Дальневосточном федеральном округе?,14.
maps.png,Что обозначают зеленые и синие кружки с числами?,"Зеленые кружки обозначают аудиторию терапевтов, синие — аудиторию ЛОР-врачей."
